accession,protein_accession,collection_date,sgene_begin,sgene_end,location,region
MT093571.1,QIC53204.1,2020-02-07,21563,25384,Sweden,Europe
MT106054.1,QID21068.1,2020-02-11,21563,25384,USA: TX,North America
MT106053.1,QID21058.1,2020-02-10,21563,25384,USA: CA,North America
MT106052.1,QID21048.1,2020-02-06,21563,25384,USA: CA,North America
MT118835.1,QID98794.1,2020-02-23,21563,25384,USA: CA,North America
MT123293.2,QIE07481.1,2020-01-29,21557,25378,China: Guangzhou,Asia
MT123292.2,QIE07471.1,2020-01-27,21563,25384,China: Guangzhou,Asia
MT123291.2,QIE07461.1,2020-01-29,21560,25381,China: Guangzhou,Asia
MT123290.1,QIE07451.1,2020-02-05,21566,25387,"China: Guangdong, Guangzhou",Asia
MT126808.1,QIG55994.1,2020-02-28,21563,25384,Brazil,South America
MT152824.1,QIH55221.1,2020-02-24,21561,25382,"USA: Snohomish County, WA",North America
MT050493.1,QIA98583.1,2020-01-31,21543,25364,India: Kerala State,Asia
MT012098.1,QHS34546.1,2020-01-27,21550,25368,India: Kerala State,Asia
LC529905.1,BCB15090.1,2020-01,21563,25384,Japan,Asia
MT159722.2,QII57338.1,2020-02-21,21563,25384,USA,North America
MT159721.2,QII57328.1,2020-02-21,21563,25384,USA,North America
MT159720.2,QII57318.1,2020-02-21,21563,25384,USA,North America
MT159719.2,QII57308.1,2020-02-18,21563,25384,USA,North America
MT159718.2,QII57298.1,2020-02-18,21563,25384,USA,North America
MT159717.2,QII57288.1,2020-02-17,21563,25384,USA,North America
MT159716.2,QII57278.1,2020-02-24,21548,25369,USA,North America
MT159715.2,QII57268.2,2020-02-24,21563,25384,USA,North America
MT159714.2,QII57258.1,2020-02-18,21563,25384,USA,North America
MT159713.2,QII57248.1,2020-02-18,21563,25384,USA,North America
MT159712.2,QII57238.1,2020-02-25,21563,25384,USA,North America
MT159711.2,QII57228.1,2020-02-20,21563,25384,USA,North America
MT159710.2,QII57218.1,2020-02-17,21563,25384,USA,North America
MT159709.2,QII57208.1,2020-02-20,21563,25384,USA,North America
MT159708.2,QII57198.1,2020-02-17,21563,25384,USA,North America
MT159707.2,QII57188.1,2020-02-17,21563,25384,USA,North America
MT159706.2,QII57178.1,2020-02-17,21563,25384,USA,North America
MT159705.2,QII57168.1,2020-02-17,21563,25384,USA,North America
MT066156.1,QIA98554.1,2020-01-30,21563,25384,Italy,Europe
MT163720.1,QII87830.1,2020-03-01,21392,25213,USA: WA,North America
MT184913.1,QIJ96523.1,2020-02-24,21563,25384,USA,North America
MT184912.1,QIJ96513.1,2020-02-17,21563,25384,USA,North America
MT184911.1,QIJ96503.1,2020-02-17,21563,25384,USA,North America
MT184910.1,QIJ96493.1,2020-02-18,21563,25384,USA,North America
MT184909.2,QIJ96483.1,2020-02-21,21563,25384,USA,North America
MT184908.2,QIJ96473.1,2020-02-21,21563,25384,USA,North America
MT184907.2,QIJ96463.1,2020-02-18,21563,25384,USA,North America
MT188341.1,QIK02964.1,2020-03-05,21512,25333,USA: MN,North America
MT188340.1,QIK02954.1,2020-03-07,21509,25330,USA: MN,North America
MT188339.1,QIK02944.1,2020-03-09,21509,25330,USA: MN,North America
MT192773.1,QIK50448.1,2020-01-22,21562,25383,Viet Nam: Ho Chi Minh city,Asia
MT192772.1,QIK50438.1,2020-01-22,21563,25384,Viet Nam: Ho Chi Minh city,Asia
MT192765.1,QIK50427.1,2020-03-11,21556,25377,"USA: CA, San Diego County",North America
MT192759.1,QIK50417.1,2020-01-25,21536,25357,Taiwan,Asia
MT226610.1,QIO04367.1,2020-01-20,21563,25384,China,Asia
MT233523.1,QIQ08830.1,2020-03-04,21509,25330,Spain: Valencia,Europe
MT233522.1,QIQ08820.1,2020-03-02,21509,25330,Spain: Valencia,Europe
MT233519.1,QIQ08790.1,2020-02-27,21509,25330,Spain: Valencia,Europe
MT240479.1,QIQ22760.1,2020-03-04,21527,25348,Pakistan: Gilgit,Asia
MT246667.1,QIQ50192.1,2020-01-19,21559,25380,USA: WA,North America
MT246490.1,QIQ50172.1,2020-03-15,21507,25328,USA: WA,North America
MT246489.1,QIQ50162.1,2020-03-14,21513,25334,USA: WA,North America
MT246488.1,QIQ50152.1,2020-03-14,21536,25357,USA: WA,North America
MT246487.1,QIQ50142.1,2020-03-15,21547,25368,USA: WA,North America
MT246486.1,QIQ50132.1,2020-03-14,21531,25352,USA: WA,North America
MT246485.1,QIQ50122.1,2020-03-15,21435,25256,USA: WA,North America
MT246484.1,QIQ50112.1,2020-03-15,21531,25352,USA: WA,North America
MT246482.1,QIQ50092.1,2020-03-15,21506,25327,USA: WA,North America
MT246481.1,QIQ50082.1,2020-03-13,21531,25352,USA: WA,North America
MT246480.1,QIQ50072.1,2020-03-13,21562,25383,USA: WA,North America
MT246479.1,QIQ50062.1,2020-03-13,21489,25310,USA: WA,North America
MT246478.1,QIQ50052.1,2020-03-14,21550,25371,USA: WA,North America
MT246477.1,QIQ50042.1,2020-03-14,21532,25353,USA: WA,North America
MT246476.1,QIQ50032.1,2020-03-13,21524,25345,USA: WA,North America
MT246475.1,QIQ50022.1,2020-03-13,21543,25364,USA: WA,North America
MT246474.1,QIQ50012.1,2020-03-14,21553,25374,USA: WA,North America
MT246473.1,QIQ50002.1,2020-03-14,21486,25307,USA: WA,North America
MT246472.1,QIQ49992.1,2020-03-12,21478,25299,USA: WA,North America
MT246471.1,QIQ49982.1,2020-03-14,21531,25352,USA: WA,North America
MT246470.1,QIQ49972.1,2020-03-13,21545,25366,USA: WA,North America
MT246469.1,QIQ49962.1,2020-03-14,21529,25350,USA: WA,North America
MT246468.1,QIQ49952.1,2020-03-14,21503,25324,USA: WA,North America
MT246467.1,QIQ49942.1,2020-03-14,21560,25381,USA: WA,North America
MT246466.1,QIQ49932.1,2020-03-13,21557,25378,USA: WA,North America
MT246464.1,QIQ49912.1,2020-03-13,21512,25333,USA: WA,North America
MT246463.1,QIQ49902.1,2020-03-13,21437,25258,USA: WA,North America
MT246462.1,QIQ49892.1,2020-03-13,21563,25384,USA: WA,North America
MT246461.1,QIQ49882.1,2020-03-13,21531,25352,USA: WA,North America
MT246460.1,QIQ49872.1,2020-03-12,21563,25384,USA: WA,North America
MT246459.1,QIQ49862.1,2020-03-12,21557,25378,USA: WA,North America
MT246458.1,QIQ49852.1,2020-03-12,21437,25258,USA: WA,North America
MT246457.1,QIQ49842.1,2020-03-12,21504,25325,USA: WA,North America
MT246456.1,QIQ49832.1,2020-03-13,21506,25327,USA: WA,North America
MT246455.1,QIQ49822.1,2020-03-12,21518,25339,USA: WA,North America
MT246454.1,QIQ49812.1,2020-03-12,21554,25375,USA: WA,North America
MT246453.1,QIQ49802.1,2020-03-13,21489,25310,USA: WA,North America
MT246452.1,QIQ49792.1,2020-03-13,21556,25377,USA: WA,North America
MT246451.1,QIQ49782.1,2020-03-13,21518,25339,USA: WA,North America
MT246450.1,QIQ49772.1,2020-03-13,21532,25353,USA: WA,North America
MT246449.1,QIQ49762.1,2020-03-13,21489,25310,USA: WA,North America
MT233526.1,QIQ50182.1,2020-01-19,21545,25366,USA: WA,North America
MT253710.1,QIQ68694.1,2020-01-21,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253709.1,QIQ68684.1,2020-01-21,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253708.1,QIQ68674.1,2020-01-21,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253707.1,QIQ68664.1,2020-01-25,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253706.1,QIQ68654.1,2020-01-22,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253705.1,QIQ68644.1,2020-01-22,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253704.1,QIQ68634.1,2020-01-25,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253703.1,QIQ68624.1,2020-01-25,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253702.1,QIQ68614.1,2020-01-21,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253701.1,QIQ68604.1,2020-01-21,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253700.1,QIQ68594.1,2020-01-25,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253699.1,QIQ68584.1,2020-01-24,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253698.1,QIQ68574.1,2020-01-23,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253697.1,QIQ68564.1,2020-01-23,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT253696.1,QIQ68554.1,2020-01-23,21509,25330,"China: Zhejiang, Hangzhou",Asia
MT251980.1,QIQ68544.1,2020-03-13,21509,25330,USA: WA,North America
MT251979.1,QIQ68534.1,2020-03-14,21512,25333,USA: WA,North America
MT251978.1,QIQ68524.1,2020-03-14,21561,25382,USA: WA,North America
MT251977.1,QIQ68514.1,2020-03-14,21489,25310,USA: WA,North America
MT251976.1,QIQ68504.1,2020-03-14,21561,25382,USA: WA,North America
MT251975.1,QIQ68494.1,2020-03-14,21535,25356,USA: WA,North America
MT251974.1,QIQ68484.1,2020-03-12,21512,25333,USA: CT,North America
MT251973.1,QIQ68474.1,2020-03-14,21559,25380,USA: WA,North America
MT251972.1,QIQ68464.1,2020-03-14,21526,25347,USA: WA,North America
LC534419.2,BCB97901.1,2020-03-09,21550,25371,Japan,Asia
LC534419.1,BCB97901.1,2020-03-09,21551,25372,Japan,Asia
LC534418.1,BCB97891.1,2020-02-14,21559,25380,Japan,Asia
MT259287.1,QIS30675.1,2020-03-15,21389,25210,USA: WA,North America
MT259286.1,QIS30665.1,2020-03-15,21537,25358,USA: WA,North America
MT259285.1,QIS30655.1,2020-03-15,21498,25319,USA: WA,North America
MT259284.1,QIS30645.1,2020-03-15,21164,24985,USA: WA,North America
MT259282.1,QIS30625.1,2020-03-15,21514,25335,USA: WA,North America
MT259281.1,QIS30615.1,2020-03-15,21532,25353,USA: WA,North America
MT259280.1,QIS30605.1,2020-03-15,21306,25127,USA: WA,North America
MT259278.1,QIS30585.1,2020-03-15,21557,25378,USA: WA,North America
MT259277.1,QIS30575.1,2020-03-15,21544,25365,USA: WA,North America
MT259275.1,QIS30555.1,2020-03-14,21532,25353,USA: WA,North America
MT259274.1,QIS30545.1,2020-03-14,21447,25268,USA: WA,North America
MT259273.1,QIS30535.1,2020-03-15,21546,25367,USA: WA,North America
MT259271.1,QIS30515.1,2020-03-15,21551,25372,USA: WA,North America
MT259269.1,QIS30495.1,2020-03-14,21557,25378,USA: WA,North America
MT259268.1,QIS30485.1,2020-03-13,21415,25236,USA: WA,North America
MT259267.1,QIS30475.1,2020-03-14,21538,25359,USA: WA,North America
MT259266.1,QIS30465.1,2020-03-13,21508,25329,USA: WA,North America
MT259264.1,QIS30445.1,2020-03-13,21532,25353,USA: WA,North America
MT259263.1,QIS30435.1,2020-03-13,21532,25353,USA: WA,North America
MT259262.1,QIS30425.1,2020-03-14,21311,25132,USA: WA,North America
MT259261.1,QIS30415.1,2020-03-16,21531,25352,USA: WA,North America
MT259260.1,QIS30405.1,2020-03-16,21532,25353,USA: WA,North America
MT259258.1,QIS30385.1,2020-03-13,21304,25125,USA: MN,North America
MT259257.1,QIS30375.1,2020-03-16,21532,25353,USA: WA,North America
MT259256.1,QIS30365.1,2020-03-13,21532,25353,USA: WA,North America
MT259254.1,QIS30345.1,2020-03-16,21548,25369,USA: WA,North America
MT259253.1,QIS30335.1,2020-03-16,21473,25294,USA: WA,North America
MT259252.1,QIS30325.1,2020-03-14,21489,25310,USA: WA,North America
MT259251.1,QIS30315.1,2020-03-14,21531,25352,USA: WA,North America
MT259250.1,QIS30305.1,2020-03-14,21367,25188,USA: WA,North America
MT259249.1,QIS30295.1,2020-03-13,21481,25302,USA: MN,North America
MT259248.1,QIS30285.1,2020-03-14,21539,25360,USA: CT,North America
MT259247.1,QIS30275.1,2020-03-16,21306,25127,USA: WA,North America
MT259246.1,QIS30265.1,2020-03-13,21528,25349,USA: WA,North America
MT259245.1,QIS30255.1,2020-03-15,21480,25301,USA: WA,North America
MT259244.1,QIS30245.1,2020-03-16,21529,25350,USA: WA,North America
MT259243.1,QIS30235.1,2020-03-13,21456,25277,USA: WA,North America
MT259241.1,QIS30215.1,2020-03-16,21342,25163,USA: WA,North America
MT259240.1,QIS30205.1,2020-03-16,21299,25120,USA: WA,North America
MT259239.1,QIS30195.1,2020-03-16,21303,25124,USA: WA,North America
MT259237.1,QIS30175.1,2020-03-16,21531,25352,USA: WA,North America
MT259236.1,QIS30165.1,2020-03-16,21539,25360,USA: WA,North America
MT259235.1,QIS30155.1,2020-03-13,21415,25236,USA: WA,North America
MT258383.1,QIS30125.1,2020-03-18,21547,25368,"USA: San Francisco, CA",North America
MT258382.1,QIS30115.1,2020-03-18,21545,25366,"USA: San Francisco, CA",North America
MT258381.1,QIS30105.1,2020-03-18,21559,25380,"USA: San Francisco, CA",North America
MT258380.1,QIS30095.1,2020-03-18,21550,25371,"USA: San Francisco, CA",North America
MT258379.1,QIS30085.1,2020-03-18,21552,25373,"USA: San Francisco, CA",North America
MT258378.1,QIS30075.1,2020-03-18,21552,25373,"USA: San Francisco, CA",North America
MT258377.1,QIS30065.1,2020-03-18,21548,25369,"USA: San Francisco, CA",North America
MT256924.2,QIS30054.2,2020-03-11,21509,25330,Colombia: Antioquia,South America
MT263469.1,QIS61566.1,2020-03-15,21502,25323,USA: WA,North America
MT263468.1,QIS61554.1,2020-03-17,21556,25377,USA: WA,North America
MT263467.1,QIS61542.1,2020-03-16,21513,25334,USA: WA,North America
MT263465.1,QIS61518.1,2020-03-16,21529,25350,USA: WA,North America
MT263464.1,QIS61506.1,2020-03-16,21531,25352,USA: WA,North America
MT263463.1,QIS61494.1,2020-03-16,21528,25349,USA: CT,North America
MT263462.1,QIS61482.1,2020-03-23,21489,25310,USA: WA,North America
MT263459.1,QIS61446.1,2020-03-24,21563,25384,USA: WA,North America
MT263458.1,QIS61434.1,2020-03-15,21550,25371,USA: WA,North America
MT263457.1,QIS61422.1,2020-03-15,21489,25310,USA: WA,North America
MT263456.1,QIS61410.1,2020-03-24,21437,25258,USA: WA,North America
MT263455.1,QIS61398.1,2020-03-24,21437,25258,USA: WA,North America
MT263454.1,QIS61386.1,2020-03,21528,25349,USA: WA,North America
MT263453.1,QIS61374.1,2020-03-24,21437,25258,USA: WA,North America
MT263452.1,QIS61362.1,2020-03-17,21532,25353,USA: WA,North America
MT263451.1,QIS61350.1,2020-03-16,21415,25236,USA: WA,North America
MT263450.1,QIS61338.1,2020-03-24,21532,25353,USA: WA,North America
MT263449.1,QIS61326.1,2020-03-24,21490,25311,USA: WA,North America
MT263448.1,QIS61314.1,2020-03-16,21489,25310,USA: WA,North America
MT263447.1,QIS61302.1,2020-03-14,21529,25350,USA: WA,North America
MT263446.1,QIS61290.1,2020-03-24,21557,25378,USA: WA,North America
MT263445.1,QIS61278.1,2020-03-24,21561,25382,USA: WA,North America
MT263444.1,QIS61266.1,2020-03-20,21529,25350,USA: WA,North America
MT263443.1,QIS61254.1,2020-03-24,21536,25357,USA: WA,North America
MT263442.1,QIS61242.1,2020-03-24,21480,25301,USA: WA,North America
MT263441.1,QIS61230.1,2020-03-24,21459,25280,USA: WA,North America
MT263440.1,QIS61218.1,2020-03-24,21512,25333,USA: WA,North America
MT263439.1,QIS61206.1,2020-03-24,21531,25352,USA: WA,North America
MT263438.1,QIS61194.1,2020-03,21532,25353,USA,North America
MT263437.1,QIS61182.1,2020-03-14,21532,25353,USA: WA,North America
MT263436.1,QIS61170.1,2020-03-24,21537,25358,USA: WA,North America
MT263435.1,QIS61158.1,2020-03-24,21545,25366,USA: WA,North America
MT263434.1,QIS61146.1,2020-03-24,21489,25310,USA: WA,North America
MT263433.1,QIS61134.1,2020-03-13,21532,25353,USA: IL,North America
MT263432.1,QIS61122.1,2020-03-24,21515,25336,USA: WA,North America
MT263431.1,QIS61110.1,2020-03-24,21524,25345,USA: WA,North America
MT263430.1,QIS61098.1,2020-03-24,21498,25319,USA: WA,North America
MT263429.1,QIS61086.1,2020-03-13,21550,25371,USA: IL,North America
MT263428.1,QIS61074.1,2020-03-13,21439,25260,USA: IL,North America
MT263426.1,QIS61050.1,2020-03-16,21452,25273,USA: WA,North America
MT263425.1,QIS61038.1,2020-03-24,21501,25322,USA: WA,North America
MT263424.1,QIS61026.1,2020-03-24,21507,25328,USA: WA,North America
MT263423.1,QIS61014.1,2020-03-23,21489,25310,USA: WA,North America
MT263422.1,QIS61002.1,2020-03-16,21489,25310,USA: WA,North America
MT263421.1,QIS60990.1,2020-03-24,21560,25381,USA: WA,North America
MT263420.1,QIS60978.1,2020-03-20,21532,25353,USA: WA,North America
MT263419.1,QIS60966.1,2020-03-16,21514,25335,USA: WA,North America
MT263418.1,QIS60954.1,2020-03-16,21540,25361,USA: WA,North America
MT263417.1,QIS60942.1,2020-03-24,21538,25359,USA: WA,North America
MT263416.1,QIS60930.1,2020-03-16,21514,25335,USA: WA,North America
MT263415.1,QIS60918.1,2020-03-13,21489,25310,USA: MN,North America
MT263414.1,QIS60906.1,2020-03-24,21490,25311,USA: WA,North America
MT263413.1,QIS60894.1,2020-03-16,21532,25353,USA: WA,North America
MT263412.1,QIS60882.1,2020-03-16,21490,25311,USA: WA,North America
MT263411.1,QIS60870.1,2020-03-14,21512,25333,USA: CT,North America
MT263410.1,QIS60858.1,2020-03-16,21531,25352,USA: WA,North America
MT263408.1,QIS60834.1,2020-03-24,21503,25324,USA: WA,North America
MT263406.1,QIS60810.1,2020-03-13,21539,25360,USA: MN,North America
MT263405.1,QIS60798.1,2020-03-16,21507,25328,USA: WA,North America
MT263404.1,QIS60786.1,2020-03-24,21532,25353,USA: WA,North America
MT263403.1,QIS60774.1,2020-03-16,21532,25353,USA: WA,North America
MT263402.1,QIS60762.1,2020-03-23,21532,25353,USA: WA,North America
MT263400.1,QIS60738.1,2020-03-23,21501,25322,USA: WA,North America
MT263399.1,QIS60726.1,2020-03-24,21532,25353,USA: WA,North America
MT263398.1,QIS60714.1,2020-03-24,21545,25366,USA: WA,North America
MT263396.1,QIS60690.1,2020-03-13,21563,25384,USA: WA,North America
MT263395.1,QIS60678.1,2020-03-14,21557,25378,USA: WA,North America
MT263394.1,QIS60666.1,2020-03-14,21398,25219,USA: WA,North America
MT263392.1,QIS60642.1,2020-03-24,21542,25363,USA: WA,North America
MT263391.1,QIS60630.1,2020-03-16,21559,25380,USA: WA,North America
MT263390.1,QIS60618.1,2020-03-24,21415,25236,USA: WA,North America
MT263388.1,QIS60594.1,2020-03-16,21439,25260,USA: WA,North America
MT263387.1,QIS60582.1,2020-03-16,21501,25322,USA: WA,North America
MT263386.1,QIS60570.1,2020-03-14,21502,25323,USA: CT,North America
MT263384.1,QIS60546.1,2020-03-23,21462,25283,USA: WA,North America
MT263383.1,QIS60534.1,2020-03-24,21457,25278,USA: WA,North America
MT263382.1,QIS60522.1,2020-03-23,21550,25371,USA: WA,North America
MT263381.1,QIS60510.1,2020-03-23,21556,25377,USA: WA,North America
MT263074.1,QIS60288.1,2020-03-10,21554,25375,Peru,South America
MT262993.1,QIS60276.1,2020-03-12,21527,25348,Pakistan: KPK,Asia
MT262916.1,QIS60499.1,2020-03-13,21563,25384,USA: WA,North America
MT262915.1,QIS60489.1,2020-03-13,21563,25384,USA: WA,North America
MT262914.1,QIS60479.1,2020-03-13,21563,25384,USA: WA,North America
MT262913.1,QIS60469.1,2020-03-13,21563,25384,USA: WA,North America
MT262912.1,QIS60459.1,2020-03-13,21563,25384,USA: WA,North America
MT262911.1,QIS60449.1,2020-03-13,21563,25384,USA: WA,North America
MT262910.1,QIS60439.1,2020-03-13,21563,25384,USA: WA,North America
MT262909.1,QIS60429.1,2020-03-13,21563,25384,USA: WA,North America
MT262908.1,QIS60419.1,2020-03-13,21563,25384,USA: WA,North America
MT262907.1,QIS60409.1,2020-03-13,21563,25384,USA: WA,North America
MT262906.1,QIS60399.1,2020-03-13,21563,25384,USA: WA,North America
MT262905.1,QIS60389.1,2020-03-13,21563,25384,USA: WA,North America
MT262904.1,QIS60379.1,2020-03-13,21563,25384,USA: WA,North America
MT262903.1,QIS60369.1,2020-03-13,21563,25384,USA: WA,North America
MT262902.1,QIS60359.1,2020-03-13,21563,25384,USA: WA,North America
MT262901.1,QIS60349.1,2020-03-13,21563,25384,USA: WA,North America
MT262900.1,QIS60339.1,2020-03-13,21563,25384,USA: WA,North America
MT262899.1,QIS60329.1,2020-03-13,21563,25384,USA: WA,North America
MT262898.1,QIS60319.1,2020-03-13,21563,25384,USA: WA,North America
MT262897.1,QIS60309.1,2020-03-13,21563,25384,USA: WA,North America
MT262896.1,QIS60299.1,2020-03-13,21563,25384,USA: WA,North America
MT276598.1,QIT06999.1,2020-03,21567,25388,Israel,Asia
MT276597.1,QIT06987.1,2020-02,21543,25364,Israel,Asia
MT276330.2,QIT06963.2,2020-02-28,21563,25384,USA: FL,North America
MT276329.1,QIT06951.1,2020-02-28,21563,25384,USA: FL,North America
MT276328.2,QIT06939.1,2020-02-27,21563,25384,USA: OR,North America
MT276327.1,QIT06927.1,2020-02-29,21563,25384,USA: GA,North America
MT276326.2,QIT06915.2,2020-02-29,21563,25384,USA: GA,North America
MT276325.2,QIT06903.1,2020-02-27,21563,25384,USA: WA,North America
MT276324.1,QIT06891.1,2020-02-26,21563,25384,USA: CA,North America
MT276323.1,QIT06879.1,2020-02-28,21563,25384,USA: RI,North America
MT295465.1,QIU81910.1,2020-03-27,21553,25374,USA,North America
MT295464.1,QIU81898.1,2020-03-10,21552,25373,USA,North America
MT293225.1,QIU81753.1,2020-03-18,21539,25360,USA: WA,North America
MT293224.1,QIU81741.1,2020-03-18,21538,25359,USA: WA,North America
MT293222.1,QIU81717.1,2020-03-18,21503,25324,USA: WA,North America
MT293220.1,QIU81693.1,2020-03-18,21532,25353,USA: WA,North America
MT293219.1,QIU81681.1,2020-03-18,21547,25368,USA: WA,North America
MT293218.1,QIU81669.1,2020-03-18,21532,25353,USA: WA,North America
MT293216.1,QIU81645.1,2020-03-19,21539,25360,USA: WA,North America
MT293215.1,QIU81633.1,2020-03-19,21539,25360,USA: WA,North America
MT293213.1,QIU81609.1,2020-03-19,21554,25375,USA: WA,North America
MT293212.1,QIU81597.1,2020-03-19,21547,25368,USA: WA,North America
MT293211.1,QIU81585.1,2020-03-19,21528,25349,USA: WA,North America
MT293210.1,QIU81573.1,2020-03-19,21532,25353,USA: WA,North America
MT293209.1,QIU81561.1,2020-03-19,21532,25353,USA: WA,North America
MT293208.1,QIU81549.1,2020-03-19,21532,25353,USA: WA,North America
MT293207.1,QIU81537.1,2020-03-19,21532,25353,USA: WA,North America
MT293206.1,QIU81525.1,2020-03-19,21303,25124,USA: WA,North America
MT293205.1,QIU81513.1,2020-03-19,21532,25353,USA: WA,North America
MT293204.1,QIU81501.1,2020-03-18,21556,25377,USA: WA,North America
MT293202.1,QIU81477.1,2020-03-19,21532,25353,USA: WA,North America
MT293201.1,QIU81465.1,2020-03-19,21534,25355,USA: WA,North America
MT293200.1,QIU81453.1,2020-03-19,21540,25361,USA: WA,North America
MT293199.1,QIU81441.1,2020-03-19,21372,25193,USA: WA,North America
MT293198.1,QIU81429.1,2020-03-19,21555,25376,USA: WA,North America
MT293197.1,QIU81417.1,2020-03-19,21335,25156,USA: WA,North America
MT293196.1,QIU81405.1,2020-03-19,21553,25374,USA: WA,North America
MT293195.1,QIU81393.1,2020-03-18,21532,25353,USA: WA,North America
MT293194.1,QIU81381.1,2020-03-18,21304,25125,USA: WA,North America
MT293192.1,QIU81357.1,2020-03-17,21529,25350,USA: WA,North America
MT293191.1,QIU81345.1,2020-03-17,21372,25193,USA: WA,North America
MT293190.1,QIU81333.1,2020-03-17,21490,25311,USA: WA,North America
MT293189.1,QIU81321.1,2020-03-18,21532,25353,USA: WA,North America
MT293188.1,QIU81309.1,2020-03-18,21477,25298,USA: WA,North America
MT293187.1,QIU81297.1,2020-03-17,21531,25352,USA: WA,North America
MT293186.1,QIU81285.1,2020-03-17,21542,25363,USA: WA,North America
MT293185.1,QIU81273.1,2020-03-18,21304,25125,USA: WA,North America
MT293184.1,QIU81261.1,2020-03-18,21425,25246,USA: WA,North America
MT293183.1,QIU81249.1,2020-03-18,21532,25353,USA: WA,North America
MT293182.1,QIU81237.1,2020-03-18,21531,25352,USA: WA,North America
MT293181.1,QIU81225.1,2020-03-18,21531,25352,USA: WA,North America
MT293180.1,QIU81213.1,2020-03-17,21301,25122,USA: WA,North America
MT293179.1,QIU81201.1,2020-03-17,21524,25345,USA: WA,North America
MT293178.1,QIU81189.1,2020-03-17,21532,25353,USA,North America
